time,value
2020-03-06 08:00:00,5
2020-03-06 07:00:00,3
2020-03-06 06:00:00,4
2020-03-06 05:00:00,3
2020-03-06 04:00:00,5
2020-03-06 03:00:00,7
2020-03-06 02:00:00,3
2020-03-06 01:00:00,7
2020-03-06 00:00:00,5
2020-03-05 23:00:00,3
2020-03-05 22:00:00,3
2020-03-05 21:00:00,1
2020-03-05 20:00:00,4
2020-03-05 19:00:00,5
2020-03-05 18:00:00,2
2020-03-05 17:00:00,5
2020-03-05 15:00:00,4
2020-03-05 14:00:00,3
2020-03-05 13:00:00,2
2020-03-05 12:00:00,4
2020-03-05 11:00:00,4
2020-03-05 10:00:00,2
2020-03-05 09:00:00,4
2020-03-05 08:00:00,3
2020-03-05 07:00:00,6
2020-03-05 06:00:00,1
2020-03-05 05:00:00,1
2020-03-05 04:00:00,3
2020-03-05 03:00:00,5
2020-03-05 02:00:00,8
2020-03-05 01:00:00,7
2020-03-05 00:00:00,6
2020-03-04 23:00:00,3
2020-03-04 22:00:00,4
2020-03-04 21:00:00,4
2020-03-04 19:00:00,3
2020-03-04 18:00:00,2
2020-03-04 17:00:00,1
2020-03-04 16:00:00,4
2020-03-04 15:00:00,2
2020-03-04 14:00:00,6
2020-03-04 13:00:00,5
2020-03-04 12:00:00,2
2020-03-04 11:00:00,4
2020-03-04 10:00:00,2
2020-03-04 09:00:00,3
2020-03-04 08:00:00,1
2020-03-04 07:00:00,4
2020-03-04 06:00:00,3
2020-03-04 05:00:00,6
2020-03-04 04:00:00,3
2020-03-04 03:00:00,7
2020-03-04 02:00:00,3
2020-03-04 01:00:00,5
2020-03-04 00:00:00,5
2020-03-03 22:00:00,3
2020-03-03 21:00:00,3
2020-03-03 20:00:00,2
2020-03-03 19:00:00,8
2020-03-03 18:00:00,2
2020-03-03 17:00:00,1
2020-03-03 16:00:00,3
2020-03-03 15:00:00,2
2020-03-03 14:00:00,2
2020-03-03 13:00:00,1
2020-03-03 12:00:00,3
2020-03-03 11:00:00,6
2020-03-03 10:00:00,4
2020-03-03 09:00:00,2
2020-03-03 08:00:00,1
2020-03-03 07:00:00,14
2020-03-03 06:00:00,3
2020-03-03 05:00:00,5
2020-03-03 04:00:00,5
2020-03-03 03:00:00,3
2020-03-03 02:00:00,7
2020-03-03 01:00:00,4
2020-03-03 00:00:00,4
2020-03-02 23:00:00,2
2020-03-02 22:00:00,2
2020-03-02 21:00:00,5
2020-03-02 20:00:00,5
2020-03-02 19:00:00,2
2020-03-02 18:00:00,7
2020-03-02 17:00:00,3
2020-03-02 16:00:00,1
2020-03-02 15:00:00,3
2020-03-02 14:00:00,1
2020-03-02 13:00:00,3
2020-03-02 12:00:00,2
2020-03-02 11:00:00,1
2020-03-02 09:00:00,3
2020-03-02 08:00:00,4
2020-03-02 07:00:00,8
2020-03-02 05:00:00,6
2020-03-02 04:00:00,9
2020-03-02 03:00:00,7
2020-03-02 02:00:00,9
2020-03-02 01:00:00,1
2020-03-02 00:00:00,1
2020-03-01 23:00:00,3
2020-03-01 22:00:00,3
2020-03-01 21:00:00,1
2020-03-01 20:00:00,4
2020-03-01 18:00:00,4
2020-03-01 17:00:00,3
2020-03-01 16:00:00,2
2020-03-01 15:00:00,1
2020-03-01 14:00:00,6
2020-03-01 12:00:00,1
2020-03-01 11:00:00,1
2020-03-01 09:00:00,1
2020-03-01 07:00:00,3
2020-03-01 06:00:00,3
2020-03-01 05:00:00,1
2020-03-01 04:00:00,2
2020-03-01 03:00:00,6
2020-03-01 02:00:00,9
2020-03-01 01:00:00,4
2020-03-01 00:00:00,3
